City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Griffith,US,41.5284,-87.4237,31.08,75,40,5.99,scattered clouds
206,Sao Filipe,CV,14.8961,-24.4956,78.17,60,100,10.89,overcast clouds
207,Namatanai,PG,-3.6667,152.4333,79.92,81,100,5.91,overcast clouds
208,Svetlyy,RU,54.675,20.1347,14.05,70,28,14.7,scattered clouds
209,Chase,CA,50.8165,-119.6857,34.68,91,100,7.67,light snow
210,Sept-Iles,CA,50.2001,-66.3821,3.06,68,75,1.01,broken clouds
211,Awjilah,LY,29.1081,21.2869,61.45,50,0,7.18,clear sky
212,Pisco,PE,-13.7,-76.2167,71.65,68,0,10.36,clear sky
213,Kazerun,IR,29.6195,51.6541,60.93,31,100,1.34,overcast clouds
214,Roura,GF,4.7263,-52.3274,78.71,94,75,8.05,broken clouds
215,Marzuq,YE,14.4,46.4667,63.9,11,0,3.83,clear sky
216,Launceston,AU,-41.45,147.1667,50.61,80,70,1.99,broken clouds
217,Pionerskiy,RU,54.9508,20.2275,13.84,73,18,20.15,few clouds
218,Hasaki,JP,35.7333,140.8333,46.8,85,100,33.06,moderate rain
219,Ewa Beach,US,21.3156,-158.0072,76.95,89,90,4.61,overcast clouds
220,Vilyuysk,RU,63.7553,121.6247,-30.39,99,97,0.58,overcast clouds
221,Port Lincoln,AU,-34.7333,135.8667,54.81,64,5,14.25,clear sky
222,Muroto,JP,33.2833,134.15,52.56,62,0,12.77,clear sky
223,Lorengau,PG,-2.0226,147.2712,79.29,91,100,20.89,moderate rain
224,Paraiso,CR,9.8383,-83.8656,72.95,76,61,5.91,broken clouds
225,Starachowice,PL,51.0374,21.0713,28.65,91,58,9.13,broken clouds
226,Kashi,CN,39.4547,75.9797,39.22,47,40,2.24,scattered clouds
227,Necochea,AR,-38.5473,-58.7368,86.04,35,100,4.94,overcast clouds
228,Te Anau,NZ,-45.4167,167.7167,51.51,90,97,2.3,overcast clouds
229,Wattegama,LK,6.7989,81.4808,77.92,93,95,3.29,overcast clouds
230,Narsaq,GL,60.9167,-46.05,30.42,87,98,10.58,overcast clouds
231,Tiksi,RU,71.6872,128.8694,-20.51,95,100,7.94,overcast clouds
232,Beneditinos,BR,-5.45,-42.3667,85.33,32,86,1.81,overcast clouds
233,Palmer,US,42.1584,-72.3287,35.67,60,90,3.0,overcast clouds
234,San Carlos Del Zulia,VE,9.0,-71.9135,86.95,57,78,5.17,broken clouds
235,Iquique,CL,-20.2208,-70.1431,68.04,65,100,9.06,overcast clouds
236,Barreirinhas,BR,-2.7469,-42.8264,90.68,52,38,14.5,scattered clouds
237,Plettenberg Bay,ZA,-34.0527,23.3716,65.19,87,51,12.12,broken clouds
238,Sinnamary,GF,5.3833,-52.95,81.27,80,80,3.22,broken clouds
239,Richards Bay,ZA,-28.783,32.0377,76.05,78,79,9.66,broken clouds
240,Zhirnovsk,RU,50.9845,44.7735,36.1,86,100,18.14,overcast clouds
241,Gat,IL,31.61,34.7642,61.79,46,60,27.85,broken clouds
242,Akhmim,EG,26.5622,31.745,64.6,34,0,9.55,clear sky
243,Doha,QA,25.2867,51.5333,73.71,76,0,5.75,clear sky
244,Morant Bay,JM,17.8815,-76.4093,85.62,68,52,8.61,broken clouds
245,Kudahuvadhoo,MV,2.6708,72.8944,82.02,76,100,9.33,overcast clouds
246,Shintomi,JP,32.0785,131.4723,46.69,74,4,6.02,clear sky
247,Severo-Kurilsk,RU,50.6789,156.125,31.21,60,93,28.83,overcast clouds
248,Cocobeach,GA,1.0002,9.5823,81.88,80,28,8.03,light rain
249,Saint-Denis,FR,48.9167,2.3333,45.37,78,75,4.0,broken clouds
250,Port Moresby,PG,-9.4431,147.1797,78.22,89,75,6.91,broken clouds
251,Kodiak,US,57.79,-152.4072,35.11,64,75,8.05,broken clouds
252,Kuryk,KZ,43.2,51.65,50.67,41,66,33.64,broken clouds
253,Sydney,AU,-33.8679,151.2073,62.06,94,75,1.01,moderate rain
254,Broome,US,42.2506,-75.833,33.53,73,90,3.0,overcast clouds
255,Batemans Bay,AU,-35.7167,150.1833,62.2,92,100,2.53,moderate rain
256,Grand Gaube,MU,-20.0064,57.6608,81.0,71,12,4.0,few clouds
257,Hvide Sande,DK,56.0045,8.1294,37.69,93,90,16.11,overcast clouds
258,San Juan,AR,-31.5375,-68.5364,74.91,47,83,18.1,broken clouds
259,Torres,BR,-29.3353,-49.7269,71.08,60,62,7.4,broken clouds
260,Camana,PE,-16.6228,-72.7111,72.27,75,100,12.21,overcast clouds
261,Nanortalik,GL,60.1432,-45.2371,28.99,90,100,22.88,light snow
262,Xai-Xai,MZ,-25.0519,33.6442,75.94,89,100,7.07,overcast clouds
263,Tanout,NE,14.9709,8.8879,75.94,7,49,12.3,scattered clouds
264,Yatou,CN,37.15,122.3833,44.71,68,100,4.5,overcast clouds
265,Ilulissat,GL,69.2167,-51.1,32.02,43,75,20.71,broken clouds
266,Las Palmas,ES,28.4204,-14.0131,65.19,68,40,17.27,scattered clouds
267,Cedarburg,US,43.2967,-87.9876,27.14,84,1,1.99,clear sky
268,Abha,SA,18.2164,42.5053,62.42,77,0,11.5,clear sky
269,Concepcion,CL,-36.827,-73.0498,67.8,60,0,13.8,clear sky
270,Teguldet,RU,57.3064,88.1667,1.2,94,100,7.49,light snow
271,Quepos,CR,9.4236,-84.1652,87.58,59,35,4.14,scattered clouds
272,Port Victoria,KE,0.0939,33.9756,74.41,68,88,6.6,light rain
273,Houma,US,29.5958,-90.7195,60.01,98,99,6.82,light rain
274,Staryy Nadym,RU,65.6118,72.6842,14.09,85,100,24.56,overcast clouds
275,Vardo,NO,70.3705,31.1107,10.38,67,0,11.5,clear sky
276,Aitape,PG,-3.1374,142.3475,78.21,88,100,5.61,light rain
277,Saldanha,ZA,-33.0117,17.9442,82.45,76,57,16.13,broken clouds
